publication_date,effective_on,department,agency_fr,independent_reg_agency,title_fr,abstract,action,citation,document_number,docket_number,significant,econ_significant,3(f)(1) significant,Major,html_url,Notes,in_fr_df,url,title_gao,agency_gao,subagency,type,description,priority,effective,received,control_number,fed_reg_number,major_rule_report,in_gao_df,regulation_id_number
2024-05-23,2024-09-05,Transportation Department,Federal Aviation Administration,0,"Modification of Class E Airspace; Hollister Municipal Airport, Hollister, CA","This action modifies the Class E airspace extending upward from 700 feet above the surface of the Hollister Municipal Airport, Hollister, CA due to the newly developed Area Navigation (RNAV) (Global Positioning System [GPS]) Runway (RWY) 13 approach. This action supports the safety and management of instrument flight rules (IFR) operations at the airport.",Final rule.,89 FR 45566,2024-11293,FAA-2023-1852,,,,,https://www.federalregister.gov/documents/2024/05/23/2024-11293/modification-of-class-e-airspace-hollister-municipal-airport-hollister-ca,,1,,,,,,,,,,,,,0,['2120-AA66']
2024-05-23,,Agriculture Department,Rural Utilities Service,0,Revision to Electric Program Operating Policies and Procedures,"The Rural Utilities Service (RUS or Agency), an agency in the United States Department of Agriculture (USDA) Rural Development Mission area, published a final rule with comment in the Federal Register on March 11, 2024, to provide more flexibility for the RUS Electric Program borrowers to complete emergency repairs while maintaining the ability to receive RUS financing, to delete unnecessary and outdated requirements imposed on electric borrowers and applicants, and to provide flexibility in selecting construction procurement methods that better support applicant needs in awarding construction contracts. Through this action, RUS is confirming the final rule as it was published.",Final rule; confirmation.,89 FR 45563,2024-11349,RUS-23-ELECTRIC-0024,,,,,https://www.federalregister.gov/documents/2024/05/23/2024-11349/revision-to-electric-program-operating-policies-and-procedures,,1,,,,,,,,,,,,,0,['0572-AC64']
2024-05-24,2024-05-28,Federal Maritime Commission,,1,Demurrage and Detention Billing Requirements,,,89 FR 45772,C1-2024-10515,FMC-2022-0066,,,,,https://www.federalregister.gov/documents/2024/05/24/C1-2024-10515/demurrage-and-detention-billing-requirements,,1,,,,,,,,,,,,,0,['3072-AC90']
2024-05-24,2024-06-10,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Bell Textron Canada Limited Helicopters,"The FAA is adopting a new airworthiness directive (AD) for certain Bell Textron Canada Limited Model 429 helicopters. The FAA previously sent this AD as an emergency AD to all known U.S. owners and operators of these helicopters. This AD was prompted by multiple reports of tail rotor (T/R) blade abrasion strip cracks. This AD requires repetitively inspecting and checking the T/R blade abrasion strip on certain T/R blades and, depending on results, replacing or marking the T/R blade. This AD also prohibits installing affected T/R blades on any helicopter. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule; request for comments.,89 FR 45754,2024-11420,FAA-2024-1466,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11420/airworthiness-directives-bell-textron-canada-limited-helicopters,,1,,,,,,,,,,,,,0,['2120-AA64']
2024-05-24,2024-06-24,Homeland Security Department,Coast Guard,0,"Regulated Navigation Area; NW Natural Gasco Sediment Site Field Pilot Study, Willamette River, Portland, Oregon","The Coast Guard is establishing a Regulated Navigation Area for certain waters of the Willamette River. This action is necessary to preserve the integrity of sampling ports at the NW Natural Gasco Sediments Site Project Area on these navigable waters near Portland, Oregon. This rule prohibits persons and vessels in the designated area from activities that could disturb or damage the sampling ports unless authorized by the Captain of the Port Sector Columbia River or a designated representative.",Final rule.,89 FR 45768,2024-11454,USCG-2023-0971,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11454/regulated-navigation-area-nw-natural-gasco-sediment-site-field-pilot-study-willamette-river-portland,,1,,,,,,,,,,,,,0,['1625-AA11']
2024-05-24,2024-06-24,Transportation Department,,0,Railroad Rehabilitation and Improvement Financing Program and Transportation Infrastructure Finance and Innovation Act Program Regulations,"In this final rule, the Department of Transportation (Department) amends the Railroad Rehabilitation and Improvement Financing and Transportation Infrastructure Finance and Innovation Act program regulations to implement provisions of the Infrastructure Investment and Jobs Act and make other necessary updates.",Final rule.,89 FR 45772,2024-11139,DOT-OST-2024-0006,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11139/railroad-rehabilitation-and-improvement-financing-program-and-transportation-infrastructure-finance,,1,,,,,,,,,,,,,0,['2105-AE69']
2024-05-24,2024-06-28,Transportation Department,Federal Aviation Administration,0,"Airworthiness Directives; Airbus Canada Limited Partnership (Type Certificate Previously Held by C Series Aircraft Limited Partnership (CSALP); Bombardier, Inc.) Airplanes","The FAA is adopting a new airworthiness directive (AD) for all Airbus Canada Limited Partnership Model BD-500-1A10 and BD-500-1A11 airplanes. This AD was prompted by the determination that reliance on design assurance level (DAL) D software for flight-critical fly-by-wire (FBW) rigging functions may result in undetected inaccurate positioning of the primary flight control surfaces. This AD requires the use of specific issues of the aircraft maintenance publication (AMP) for electrical rigging procedures, and an electrical rigging confirmation check of primary flight control surfaces for certain airplanes, as specified in a Transport Canada AD, which is incorporated by reference. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,89 FR 45758,2024-11410,FAA-2023-1997,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11410/airworthiness-directives-airbus-canada-limited-partnership-type-certificate-previously-held-by-c,,1,,,,,,,,,,,,,0,['2120-AA64']
2024-05-24,2024-08-02,Defense Department,,0,TRICARE; Removal of Certain Temporary Regulation Changes Made in Response to COVID-19,"The ASD(HA) is issuing this direct final rule to remove certain temporary regulation changes put in place in response to the coronavirus disease 2019 (COVID-19) pandemic that were automatically terminated by the end of the President's national emergency and the associated Health and Human Services (HHS) Public Health Emergency (PHE). This rule is being published as a direct final rule as the Department does not expect to receive any adverse comments. If such comments are received, and are significant, this direct final rule will be withdrawn and a proposed rule for comments will be published.",Direct final rule.,89 FR 45765,2024-11219,DOD-2023-HA-0049,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11219/tricare-removal-of-certain-temporary-regulation-changes-made-in-response-to-covid-19,,1,,,,,,,,,,,,,0,['0720-AB89']
2024-05-24,2024-09-05,Transportation Department,Federal Aviation Administration,0,"Modification of Class D and E Airspace; McClellan-Palomar Airport, Carlsbad, CA","This action modifies the Class D and Class E airspace designated as a surface area at McClellan-Palomar Airport, Carlsbad, CA. Additionally, this action makes administrative modifications to update the airport's existing Class D and Class E airspace legal descriptions. These actions will support the safety and management of instrument flight rules (IFR) and visual flight rules (VFR) operations at the airport.",Final rule.,89 FR 45760,2024-11296,FAA-2023-0786,,,,,https://www.federalregister.gov/documents/2024/05/24/2024-11296/modification-of-class-d-and-e-airspace-mcclellan-palomar-airport-carlsbad-ca,,1,,,,,,,,,,,,,0,['2120-AA66']
2024-05-28,2024-05-28,Equal Employment Opportunity Commission,,0,Amendment of Procedural and Administrative Regulations To Include the Pregnant Workers Fairness Act; Corrections,"On February 14, 2024, the Equal Employment Opportunity Commission (""EEOC"" or ""Commission"") published an interim final rule amending its procedural and recordkeeping regulations to include references to the Pregnant Workers Fairness Act (""PWFA""). That document included a few references to the PWFA in sections where they should not have been included, and this document removes those references from the regulations.",Correcting amendments.,89 FR 46021,2024-11611,,,,,,https://www.federalregister.gov/documents/2024/05/28/2024-11611/amendment-of-procedural-and-administrative-regulations-to-include-the-pregnant-workers-fairness-act,,1,,,,,,,,,,,,,0,['3046-AB31']
2024-05-28,2024-06-06,Housing and Urban Development Department,,0,Housing Opportunity Through Modernization Act of 2016-Housing Choice Voucher (HCV) and Project-Based Voucher Implementation; Additional Streamlining Changes; Correction,"The Department of Housing and Urban Development is correcting a final rule entitled, ""Housing Opportunity Through Modernization Act of 2016--Housing Choice Voucher (HCV) and Project-Based Voucher Implementation; Additional Streamlining Changes"" that published on May 7, 2024.","Final rule, correction.",89 FR 46020,2024-11629,HUD-2020-0070,,,,,https://www.federalregister.gov/documents/2024/05/28/2024-11629/housing-opportunity-through-modernization-act-of-2016-housing-choice-voucher-hcv-and-project-based,,1,,,,,,,,,,,,,0,['2577-AD06']
2024-05-28,2024-06-27,Homeland Security Department,Coast Guard,0,"Drawbridge Operation Regulation; Cuyahoga River, Cleveland, OH",The Coast Guard is creating a new operating schedule to govern all movable bridges over the Cuyahoga River. The Coast Guard is also establishing new rules that will assist mariners signal for and anticipate bridge openings. These changes are expected to ensure the safe and efficient flow of traffic on the Cuyahoga River.,Final rule.,89 FR 46021,2024-11608,USCG-2023-0188,,,,,https://www.federalregister.gov/documents/2024/05/28/2024-11608/drawbridge-operation-regulation-cuyahoga-river-cleveland-oh,,1,,,,,,,,,,,,,0,['1625-AA09']
2024-05-28,2024-09-05,Transportation Department,Federal Aviation Administration,0,"Establishment of Class E Airspace; Turlock Municipal Airport, Turlock, CA","This action establishes Class E airspace extending upward from 700 feet above the surface at Turlock Municipal Airport, Turlock, CA, to support the airport's transition from visual flight rules (VFR) operations to instrument flight rules (IFR) operations.",Final rule.,89 FR 46019,2024-11434,FAA-2024-0163,,,,,https://www.federalregister.gov/documents/2024/05/28/2024-11434/establishment-of-class-e-airspace-turlock-municipal-airport-turlock-ca,,1,,,,,,,,,,,,,0,['2120-AA66']
2024-05-28,2024-10-01,Corporation for National and Community Service,,0,AmeriCorps State and National Updates,"The Corporation for National and Community Service (operating as AmeriCorps) is revising its regulations governing the AmeriCorps State and National program to provide programmatic and grantmaking flexibilities while protecting program integrity and safeguarding taxpayer funds. This rule limits AmeriCorps State and National grantees' required share of program costs (known as ""match"" or ""cost share"") to a scale that starts at 24 percent for the first three-year grant cycle and increases more incrementally with each successive three-year grant cycle, until it reaches 30 percent in the fourth three-year grant cycle (that is, the tenth year of the grant) and beyond; simplifies the criteria that allow AmeriCorps to waive match for AmeriCorps State and National grantees; allows AmeriCorps to grant waivers of education hour limitations under certain circumstances to permit members serving with AmeriCorps State and National grantees to spend an increased number of hours on education and training activities; and removes the four-term limit on service in AmeriCorps State and National programs, with a clarification of the number of terms for which AmeriCorps will fund member benefits. Non-substantive changes in this rule are updates to nomenclature to reflect that the Corporation for National and Community Service operates as AmeriCorps, deletion of provisions that were based on a statutory provision that has since been deleted, and updates to outdated citations.",Final rule.,89 FR 46024,2024-10030,CNCS-2023-0030,,,,,https://www.federalregister.gov/documents/2024/05/28/2024-10030/americorps-state-and-national-updates,,1,,,,,,,,,,,,,0,['3045-AA84']
2024-05-29,2024-05-24,Homeland Security Department,Coast Guard,0,"Safety Zone; Saginaw Memorial Cup Fireworks, Saginaw River; Saginaw, MI","The Coast Guard is establishing a temporary safety zone for navigable waters on the Saginaw River, Saginaw, MI. The safety zone is necessary and intended to protect personnel, vessels, and the marine environment from potential hazards associated with fireworks displays created by the Saginaw Spirit organization. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port Detroit, or his designated representative.",Temporary final rule.,89 FR 46326,2024-11763,USCG-2024-0372,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11763/safety-zone-saginaw-memorial-cup-fireworks-saginaw-river-saginaw-mi,,1,,,,,,,,,,,,,0,['1625-AA00']
2024-05-29,2024-05-29,Homeland Security Department,Coast Guard,0,"Safety Zone; Delaware River, Philadelphia, PA","The Coast Guard is establishing a temporary safety zone for all navigable waters of the Delaware River within a 500-yard radius of the EX-USS NEW JERSEY during active dead ship tow operations from Philadelphia, PA to Paulsboro, NJ, and then to Camden, NJ. The temporary safety zone, which will only be enforced during active towing operations, is needed to protect personnel, vessels, and the marine environment from potential hazards created by the dead ship tow. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port, Sector Delaware Bay (COTP).",Temporary final rule.,89 FR 46328,2024-11679,USCG-2024-0401,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11679/safety-zone-delaware-river-philadelphia-pa,,1,,,,,,,,,,,,,0,['1625-AA00']
2024-05-29,2024-05-29,Veterans Affairs Department,,0,Update to Delegations of Authority to Certain Officials,The Department of Veterans Affairs (VA) is amending its regulation governing the Secretary's delegations of authority to reflect relevant nomenclature changes to the names of positions and groups within the Office of General Counsel.,Final rule.,89 FR 46331,2024-11715,VA-2024-VACO-0012,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11715/update-to-delegations-of-authority-to-certain-officials,,1,,,,,,,,,,,,,0,['2900-AS09']
2024-05-29,2024-05-30,Commerce Department,National Oceanic and Atmospheric Administration,0,Fisheries of the Exclusive Economic Zone Off Alaska; Cook Inlet Salmon; Amendment 16; Correction,"On April 30, 2024, NMFS published a final rule to implement amendment 16 to the Fishery Management Plan for the Salmon Fisheries in the Exclusive Economic Zone off Alaska. The final rule included an incorrect length for drift gillnet gear and an unclear heading title. These corrections fix these errors.",Final rule; correction.,89 FR 46333,2024-11724,NOAA-NMFS-2023-0065,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11724/fisheries-of-the-exclusive-economic-zone-off-alaska-cook-inlet-salmon-amendment-16-correction,,1,,,,,,,,,,,,,0,['0648-BM42']
2024-05-29,2024-06-01,Commerce Department,National Oceanic and Atmospheric Administration,0,"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Reef Fish Resources of the Gulf of Mexico; Amendment 56; Correction","NMFS corrects the final rule published on May 10, 2024, to implement Amendment 56 to the Fishery Management Plan for the Reef Fish Resources of the Gulf of Mexico (Amendment 56). The final rule excluded a reference to the recreational annual catch target in the recreational accountability measures for gag. This correction fixes that omission.",Final rule; correction.,89 FR 46333,2024-11698,,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11698/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-resources-of-the-gulf-of,,1,,,,,,,,,,,,,0,['0648-BM46']
2024-05-29,2024-06-28,Interior Department,Fish and Wildlife Service,0,Endangered and Threatened Wildlife and Plants; Designation of Critical Habitat for the Coastal Distinct Population Segment of the Pacific Marten,"We, the U.S. Fish and Wildlife Service (Service), designate critical habitat for the coastal distinct population segment of Pacific marten (coastal marten) (Martes caurina), a mammal species from coastal California and Oregon, under the Endangered Species Act of 1973 (Act), as amended. In total, approximately 1,213,752 acres (491,188 hectares) in northwestern California and southwestern Oregon fall within the boundaries of the critical habitat designation. This rule extends the Act's protections to this entity's designated critical habitat.",Final rule.,89 FR 46576,2024-11254,FWS-R8-ES-2020-0151,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11254/endangered-and-threatened-wildlife-and-plants-designation-of-critical-habitat-for-the-coastal,,1,,,,,,,,,,,,,0,['1018-BE33']
2024-05-29,2024-07-01,Education Department,,0,Improving Income Driven Repayment for the William D. Ford Federal Direct Loan Program and the Federal Family Education Loan (FFEL) Program; Correction,"On July 10, 2023, the Department of Education (Department) published in the Federal Register final regulations amending regulations related to income-driven repayment. This document corrects technical errors in the regulations and preamble. This document does not contain any substantive changes to the regulations.",Final regulations; correction.,89 FR 46330,2024-11300,ED-2023-OPE-0004,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11300/improving-income-driven-repayment-for-the-william-d-ford-federal-direct-loan-program-and-the-federal,,1,,,,,,,,,,,,,0,['1840-AD81']
2024-05-29,2024-07-03,Transportation Department,Federal Aviation Administration,0,Airworthiness Directives; Airbus SAS Airplanes,"The FAA is superseding Airworthiness Directive (AD) 2021-21- 02, which applied to certain Airbus SAS Model A318, A319, A320, A321, A330-200, A330-200 Freighter, A330-300, A330-800, A330-900, A340-200, A340-300, A340-500, A340-600, and A380-800 series airplanes. AD 2021- 21-02 required replacing certain parts manufacturer approval (PMA) Ni- Cd batteries with serviceable Ni-Cd batteries or maintaining the electrical storage capacity of those PMA Ni-Cd batteries during airplane storage or parking. This AD was prompted by a determination that the on-wing preservation procedures originally provided in that AD did not ensure the expected preservation of the battery capacity. This AD adds airplanes to the applicability and requires replacing each affected part with a serviceable part before release to service of an airplane after a storage or parking period, as applicable. The FAA is issuing this AD to address the unsafe condition on these products.",Final rule.,89 FR 46319,2024-11587,FAA-2024-0221,,,,,https://www.federalregister.gov/documents/2024/05/29/2024-11587/airworthiness-directives-airbus-sas-airplanes,,1,,,,,,,,,,,,,0,['2120-AA64']
2024-05-30,2024-05-29,Commerce Department,National Oceanic and Atmospheric Administration,0,Pacific Halibut Fisheries of the West Coast; 2024 Catch Sharing Plan and Recreational Management Measures; Correction,"This action makes two corrections to the 2024 Area 2A Pacific halibut recreational management measures implemented on April 4, 2024. Specifically, NMFS is correcting the open fishing dates listed for the Washington South Coast subarea fishery and a reference to the subarea allocation amount for the Oregon Central Coast nearshore fishery. The date and allocation corrections are to address minor inadvertent transcriptional errors, non-substantive changes to the final rule, and this rule is needed to avoid confusion with the public, enforcement, and management agencies.",Final rule; correction.,89 FR 46824,2024-11866,NOAA-NMFS-2024-0014,,,,,https://www.federalregister.gov/documents/2024/05/30/2024-11866/pacific-halibut-fisheries-of-the-west-coast-2024-catch-sharing-plan-and-recreational-management,,1,,,,,,,,,,,,,0,['0648-BM75']
2024-05-30,2024-07-29,Federal Trade Commission,,1,Health Breach Notification Rule,"The Federal Trade Commission (""FTC"" or ""Commission"") is amending the Commission's Health Breach Notification Rule (the ""HBN Rule"" or the ""Rule""). The HBN Rule requires vendors of personal health records (""PHRs"") and related entities that are not covered by the Health Insurance Portability and Accountability Act (""HIPAA"") to notify individuals, the FTC, and, in some cases, the media of a breach of unsecured personally identifiable health data.",Final rule.,89 FR 47028,2024-10855,FTC-2023-0037,,,,,https://www.federalregister.gov/documents/2024/05/30/2024-10855/health-breach-notification-rule,,1,,,,,,,,,,,,,0,['3084-AB56']
2024-05-30,2024-08-28,National Archives and Records Administration,,0,Federal Records Management: Digitizing Temporary Records,"In June 2023, the National Archives and Records Administration (NARA) issued GRS Transmittal 34, which introduced GRS 4.5 Digitizing Records. NARA is updating the regulations to incorporate GRS 4.5 and ensure agencies use the proper authorization for disposing of temporary records that have been digitized. We added guidance directing agencies to manage temporary digital records according to the requirements. We also clarified language regarding when agencies may dispose of the scheduled source records. Additionally, we are harmonizing language in existing regulations with the new amendments.",Direct final rule.,89 FR 46803,2024-11910,,,,,,https://www.federalregister.gov/documents/2024/05/30/2024-11910/federal-records-management-digitizing-temporary-records,,1,,,,,,,,,,,,,0,['3095-AC18']
2024-05-30,,Commerce Department,National Oceanic and Atmospheric Administration,0,Fisheries of the Northeastern United States; Atlantic Coastal Fisheries Cooperative Management Act Provisions; American Lobster Fishery; Removal of American Lobster Effort Control Measures,"Following the Atlantic States Marine Fisheries Commission's (Commission) withdrawal of Lobster Conservation Management Area 2 and 3 ownership caps and Area 3 maximum trap cap reductions from its Interstate Fishery Management Plan for American Lobster (Lobster Plan), this action removes those requirements from Federal regulations and clarifies that all other measures included in the October 2, 2023, interim final rule (IFR) remain in effect. This action is intended to support the Commission's management of the lobster fishery and eliminate the potential for inconsistent State and Federal regulations that risk undermining management of the fishery and is necessary to ensure that fishery regulations for the lobster fishery in Federal waters remain compatible with the Lobster Plan and consistent with the Atlantic Coastal Fisheries Cooperative Management Act (Atlantic Coastal Act).",Final rule.,89 FR 46825,2024-11453,NOAA-NMFS-2022-0032,,,,,https://www.federalregister.gov/documents/2024/05/30/2024-11453/fisheries-of-the-northeastern-united-states-atlantic-coastal-fisheries-cooperative-management-act,,1,,,,,,,,,,,,,0,['0648-BM92']
2024-05-31,2024-05-31,Homeland Security Department,Coast Guard,0,"Drawbridge Operation Regulation; Sloop Channel, Nassau County, NY","The Coast Guard is temporarily modifying the operating schedule that governs the Meadowbrook State Parkway Bridge across Sloop Channel, mile 12.8, at Nassau County, NY. The bridge is currently operating under single leaf openings to complete a bridge rehabilitation; however, during repairs, the Meadowbrook State Parkway Bridge experienced electrical failure in the submarine cables. Until the bridge repairs are complete the bridge openings must be minimized.",Temporary interim rule.,89 FR 47081,2024-11837,USCG-2023-0532,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11837/drawbridge-operation-regulation-sloop-channel-nassau-county-ny,,1,,,,,,,,,,,,,0,['1625-AA09']
2024-05-31,2024-05-31,Personnel Management Office,,0,Noncompetitive Appointment of Certain Military Spouses,"This final rule adopts, without change, an interim final rule implementing the changes authorized by the National Defense Authorization Act (NDAA) for Fiscal Year (FY) 2023 regarding the noncompetitive appointment authority for certain military spouses. These changes extend certain temporary provisions and remove the reporting requirements that were imposed by the NDAA for FY 2019. These changes will continue to enhance the recruitment and hiring of military spouses for permanent Federal positions in the competitive service.",Final rule.,89 FR 47067,2024-11825,,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11825/noncompetitive-appointment-of-certain-military-spouses,,1,,,,,,,,,,,,,0,['3206-AO57']
2024-05-31,2024-06-01,Commerce Department,National Oceanic and Atmospheric Administration,0,Fisheries Off West Coast States; the Highly Migratory Species Fishery; El Nino Pacific Loggerhead Conservation Area Closure,"NMFS is prohibiting fishing with large-mesh drift gillnet (DGN) gear (>=14 inches mesh) off the coast of southern California east of 120[deg] W meridian from June 1, 2024, through August 31, 2024. This prohibition is based on the Assistant Administrator for Fisheries' (AA's) determination that El Ni[ntilde]o conditions are occurring off the coast of southern California. This action is intended to protect Endangered Species Act-listed loggerhead sea turtles (Caretta caretta), specifically, the endangered North Pacific Ocean Distinct Population Segment.",Temporary rule; closure.,89 FR 47106,2024-11989,,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11989/fisheries-off-west-coast-states-the-highly-migratory-species-fishery-el-nino-pacific-loggerhead,,1,,,,,,,,,,,,,0,['0648-XD98']
2024-05-31,2024-06-01,Homeland Security Department,Coast Guard,0,"Safety Zone; Corpus Christi Ship Channel, Corpus Christi, TX","The Coast Guard is establishing a temporary safety zone for certain navigable waters of the Corpus Christi Ship Channel. The safety zone is needed to protect personnel, vessels, and the marine environment from potential hazards created by the removal of pipeline from the floor of the Corpus Christi Ship Channel near mile markers 55 and 56. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port, Sector Corpus Christi or a designated representative.",Temporary final rule.,89 FR 47085,2024-12004,USCG-2024-0456,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-12004/safety-zone-corpus-christi-ship-channel-corpus-christi-tx,,1,,,,,,,,,,,,,0,['1625-AA00']
2024-05-31,2024-06-24,Interior Department,Ocean Energy Management Bureau,0,Risk Management and Financial Assurance for OCS Lease and Grant Obligations; Correction,"This document makes a technical correction in the preamble to the final rule titled, Risk Management and Financial Assurance for OCS Lease and Grant Obligations, which the Department of the Interior published in the Federal Register on April 24, 2024. This correction clarifies that the effective date of the rule is June 29, 2024.",Final rule; correction.,89 FR 47080,2024-11914,BOEM-2023-0027,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11914/risk-management-and-financial-assurance-for-ocs-lease-and-grant-obligations-correction,,1,,,,,,,,,,,,,0,['1010-AE14']
2024-05-31,2024-07-01,Commerce Department,National Oceanic and Atmospheric Administration,0,Atlantic Highly Migratory Species; Bluefin Tuna General Category Effort Controls and Related Regulations,"In this final rule, NMFS is modifying the process of scheduling restricted-fishing days (RFDs) by codifying a schedule of RFDs for the 2024 fishing year and subsequent fishing years, setting an additional non-codified RFD for the 2024 fishing year, establishing a General category default retention limit for large medium or giant bluefin tuna (BFT) on open days (i.e., non-RFDs), and clarifying the BFT dealer regulations and the definition of a bluefin statistical document (BSD) tag. This final action is necessary to increase the likelihood of pacing General category landings to extend fishing opportunities through a greater portion of the General category time period subquotas. Lastly, this final action clarifies existing regulations to ensure better understanding and compliance by General category quota participants.",Final rule.,89 FR 47095,2024-11870,NOAA-NMFS-2024-0021,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11870/atlantic-highly-migratory-species-bluefin-tuna-general-category-effort-controls-and-related,,1,,,,,,,,,,,,,0,['0648-BM66']
2024-05-31,2024-07-04,Homeland Security Department,Coast Guard,0,"Safety Zone; Hampton River, Hampton, VA","The Coast Guard is establishing a temporary safety zone for navigable waters within the Hampton River, Hampton, VA. The safety zone is needed to protect personnel and vessels from potential hazards created by overhead drones during a lighted drone show. Entry of vessels or persons into this zone is prohibited unless specifically authorized by the Captain of the Port, Sector Virginia.",Temporary final rule.,89 FR 47083,2024-11966,USCG-2024-0441,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11966/safety-zone-hampton-river-hampton-va,,1,,,,,,,,,,,,,0,['1625-AA00']
2024-05-31,2024-09-05,Transportation Department,Federal Aviation Administration,0,"Modification of Class E Airspace; Mammoth Lakes Airport, Mammoth Lakes, CA","This action modifies the Class E airspace designated as surface area, modifies the Class E airspace extending upward from 700 feet above the surface, and removes the Class E airspace extending upward from 1,200 feet above the surface at Mammoth Yosemite Airport, Mammoth Lakes, CA. Additionally, this action updates the administrative portion of the airport's Class E airspace legal descriptions. These actions support the safety and management of instrument flight rules (IFR) operations at the airport.",Final rule.,89 FR 47073,2024-11894,FAA-2023-1758,,,,,https://www.federalregister.gov/documents/2024/05/31/2024-11894/modification-of-class-e-airspace-mammoth-lakes-airport-mammoth-lakes-ca,,1,,,,,,,,,,,,,0,['2120-AA66']
2024-06-03,2024-07-03,Homeland Security Department,Coast Guard,0,Safety Zone; Annual Fireworks Displays Within the Sector Columbia River Captain of the Port Zone,"The Coast Guard is amending the regulations establishing safety zones for annual fireworks displays in the Captain of the Port Zone Columbia River. This action updates 12 existing safety zones, adding 2 safety zones for fireworks displays that were previously published under temporary regulations, and reordering the table alphabetically.",Final rule.,89 FR 47464,2024-12047,USCG-2024-0253,,,,,https://www.federalregister.gov/documents/2024/06/03/2024-12047/safety-zone-annual-fireworks-displays-within-the-sector-columbia-river-captain-of-the-port-zone,,1,,,,,,,,,,,,,0,['1625-AA00']
2024-06-03,2024-07-03,Nuclear Regulatory Commission,,1,"List of Approved Spent Fuel Storage Casks: FuelSolutionsTM Spent Fuel Management System, Certificate of Compliance No. 1026, Renewal of Initial Certificate and Amendment Nos. 1 Through 4","The U.S. Nuclear Regulatory Commission (NRC) is confirming the effective date of July 3, 2024, for the direct final rule that was published in the Federal Register on April 19, 2024. This direct final rule amended the Westinghouse Electric Company LLC FuelSolutions<SUP>TM</SUP> Spent Fuel Management System listing within the ""List of approved spent fuel storage casks"" to renew the initial certificate and Amendment Nos. 1 through 4 to Certificate of Compliance No. 1026.",Direct final rule; confirmation of effective date.,89 FR 47439,2024-12063,NRC-2023-0220,,,,,https://www.federalregister.gov/documents/2024/06/03/2024-12063/list-of-approved-spent-fuel-storage-casks-fuelsolutionstm-spent-fuel-management-system-certificate,,1,,,,,,,,,,,,,0,['3150-AL05']
2024-06-03,2024-07-30,National Archives and Records Administration,,0,Federal Records Management: GAO Concurrence; Correction,"NARA is correcting a direct final rule that appeared in the Federal Register on May 1, 2024, amending our records management regulations to limit the role of the Government Accountability Office (GAO) in approving certain deviations in agency records schedules. This document is correcting the DATES section to add the effective date of the rule, and it is correcting the amendatory instruction to the rule.",Direct final rule; correction.,89 FR 47467,2024-11915,,,,,,https://www.federalregister.gov/documents/2024/06/03/2024-11915/federal-records-management-gao-concurrence-correction,,1,,,,,,,,,,,,,0,['3095-AC12']
2024-06-03,2024-09-03,Railroad Retirement Board,,0,Family Relationships,"The Railroad Retirement Board (RRB) amends its regulations to update who may qualify as an adopted child to be included in the computation of a railroad employee's annuity amount under section 3(f)(2) of the Railroad Retirement Act. The current regulation requires that a child adopted after the employee begins receiving an annuity must both live with the employee and receive one-half support from the employee. The amendment would eliminate this requirement for legally adopted children if the adoption proceedings commenced prior to the child attaining age 18. For adoptions commenced after the child attains age 18, the amendment would require only one of the above criteria to be met. This amendment is necessary to harmonize the RRB's regulations with the requirements of section 202(d)(8)(D) of the Social Security Act and section 3(f)(2) of the Railroad Retirement Act.",Direct final rule; request for comments.,89 FR 47460,2024-12050,,,,,,https://www.federalregister.gov/documents/2024/06/03/2024-12050/family-relationships,,1,,,,,,,,,,,,,0,['3220-AB79']
